Participant,HR,Time,Label
1,60.6,1644267854,0
1,60.58,1644267914,0
1,60.57,1644267975,0
1,60.55,1644268035,0
1,60.53,1644268096,0
1,60.52,1644268157,0
1,60.52,1644268217,0
1,60.63,1644268278,0
1,60.77,1644268338,0
1,61.18,1644268399,0
1,61.5,1644268460,0
1,61.83,1644268522,0
1,62.08,1644268584,0
1,62.37,1644268646,0
1,62.63,1644268708,0
1,62.88,1644268771,0
1,63.17,1644268833,0
1,63.45,1644268897,0
1,63.73,1644268960,0
1,64.03,1644269024,0
1,64.32,1644269088,0
1,64.62,1644269152,0
1,64.87,1644269217,0
1,65.1,1644269282,0
1,65.33,1644269347,0
1,65.6,1644269412,0
1,65.88,1644269478,0
1,66.18,1644269544,0
1,66.45,1644269610,0
1,66.75,1644269676,0
1,67.07,1644269743,0
1,67.35,1644269810,0
1,67.62,1644269877,0
1,67.88,1644269945,0
1,68.15,1644270013,0
1,68.42,1644270081,0
1,68.68,1644270149,0
1,68.93,1644270218,0
1,69.2,1644270287,0
1,69.47,1644270356,0
1,69.75,1644270426,0
1,70.07,1644270495,0
1,70.4,1644270566,0
1,70.72,1644270636,0
1,70.95,1644270707,0
1,71.17,1644270778,0
1,71.38,1644270849,0
1,71.58,1644270920,0
1,71.78,1644270992,0
1,71.97,1644271064,0
1,72.15,1644271135,0
1,72.33,1644271208,0
1,72.5,1644271280,0
1,72.62,1644271352,0
1,72.68,1644271425,0
1,72.75,1644271498,0
1,72.83,1644271571,0
1,72.92,1644271643,0
1,73.02,1644271716,0
1,73.28,1644271789,0
1,73.57,1644271863,0
1,73.88,1644271936,0
1,74.2,1644272010,0
1,74.5,1644272084,0
1,74.78,1644272159,0
1,75.03,1644272234,0
1,75.38,1644272309,0
1,75.63,1644272384,0
1,75.85,1644272460,0
1,75.8,1644272535,0
1,75.88,1644272611,0
1,75.92,1644272687,0
1,75.98,1644272763,0
1,76.0,1644272839,0
1,75.77,1644272915,0
1,75.55,1644272991,0
1,75.3,1644273066,0
1,75.05,1644273142,0
1,74.8,1644273217,0
1,74.53,1644273291,0
1,74.27,1644273366,0
1,73.98,1644273440,0
1,73.73,1644273514,0
1,73.5,1644273588,0
1,73.28,1644273661,0
1,73.05,1644273735,0
1,72.8,1644273808,0
1,72.53,1644273881,0
1,72.3,1644273953,0
1,72.07,1644274025,0
1,71.82,1644274097,0
1,71.6,1644274169,0
1,71.38,1644274241,0
1,71.13,1644274312,0
1,70.95,1644274383,0
1,70.73,1644274454,0
1,70.53,1644274525,0
1,70.33,1644274596,0
1,70.1,1644274666,0
1,69.9,1644274736,0
1,69.75,1644274806,0
1,69.52,1644274876,0
1,69.2,1644274945,0
1,68.95,1644275014,0
1,68.78,1644275083,0
1,68.63,1644275152,0
1,68.48,1644275221,0
1,68.35,1644275289,0
1,68.22,1644275358,0
1,68.08,1644275426,0
1,67.97,1644275494,0
1,67.83,1644275562,0
1,67.72,1644275630,0
1,67.65,1644275697,0
1,67.63,1644275765,0
1,67.62,1644275833,0
1,67.6,1644275900,0
1,67.58,1644275968,0
1,67.57,1644276036,0
1,67.38,1644276103,0
1,67.18,1644276170,0
